,id,title,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
43,4NBTZtAt1F13VvlSKe6KTl,This Feeling,0.575,0.571,1,-7.906,1,0.0558,0.0,0.0912,0.449,105.049,197947,4,84,8,647
44,1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,0.532,0.869,11,-5.094,1,0.157,0.00508,0.136,0.422,159.803,208373,4,140,9,761
45,05sCp83gcMm1iecYydKJS3,Let's Hurt Tonight,0.359,0.713,5,-4.526,1,0.33,0.0,0.324,0.272,61.519,194520,4,48,9,660
46,7npLlaPu9Mfno8hjk5OagD,Girls Like You,0.611,0.462,0,-7.054,1,0.558,1.01e-06,0.131,0.377,59.635,215230,4,52,6,882
47,4ZSyW6b7swz86ONngnW9SG,Main Attraction,0.573,0.765,7,-4.508,1,0.213,0.0,0.443,0.588,138.89,202878,4,117,10,651
48,5YN0zHycJ0Yxz31A5QsVov,These Are The Times (feat. JRM),0.687,0.707,4,-6.19,1,0.0536,9.29e-05,0.16,0.607,127.033,188656,4,97,10,689
49,3qrCdUM4WLsNHNDemxJeXM,Never Sorry,0.54,0.818,7,-5.059,1,0.0761,0.0,0.125,0.518,100.015,210794,4,86,9,686
50,5r76Mws7RXZ7Je23sE9Zug,Sign,0.701,0.88,8,-3.397,1,0.331,0.0,0.0525,0.841,138.931,181514,4,102,9,629
51,6lanRgr6wXibZr8KgzXxBl,A Thousand Years,0.421,0.407,10,-7.445,1,0.309,0.000961,0.11,0.161,139.028,285120,3,216,13,776
52,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,0.491,0.693,0,-6.487,0,0.211,6.92e-06,0.325,0.412,90.027,258267,4,97,10,915
53,4n7jnSxVLd8QioibtTDBDq,On My Way,0.509,0.689,1,-4.929,0,0.0209,0.0,0.301,0.297,170.087,193798,4,136,9,759
54,0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II",0.67,0.668,3,-4.306,0,0.536,0.0,0.133,0.608,88.033,179053,4,64,7,702
55,3HTySujYyWa1nZdfiZVZs0,I Luv U (with R3HAB),0.875,0.558,1,-6.164,1,0.0532,2.14e-05,0.116,0.44,96.072,150938,4,59,6,612
56,3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,0.647,0.932,11,-3.515,1,0.00383,1.5e-06,0.0574,0.374,114.991,198774,4,93,7,945
57,4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.842,0.801,8,-4.167,0,0.157,4.82e-06,0.0642,0.617,95.881,212500,4,83,14,1092
58,4cktbXiXOapiLBMprHFErI,Memories,0.775,0.327,11,-7.241,1,0.841,0.0,0.0821,0.595,91.05,189486,4,69,9,621
59,1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),0.619,0.459,7,-5.782,0,0.56,0.0,0.137,0.498,126.803,184280,4,95,9,604
60,4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,0.488,0.343,4,-8.985,1,0.556,0.0,0.21,0.0978,102.819,206459,4,86,12,650
61,0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),0.798,0.676,6,-5.041,1,0.0902,0.0,0.0894,0.843,101.956,219947,4,93,11,958
62,0F7FA14euOIX8KcbEturGH,Old Town Road,0.907,0.53,1,-6.112,1,0.0578,2.23e-06,0.101,0.507,135.998,113000,4,63,5,399
63,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,0.704,0.225,6,-14.454,0,0.902,0.657,0.106,0.243,120.006,245426,4,122,11,970
64,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),0.351,0.296,4,-10.109,0,0.934,0.0,0.095,0.12,115.284,200186,4,94,10,638
65,2Fxmhks0bxGSBdJ92vM42m,bad guy,0.701,0.425,7,-10.965,1,0.328,0.13,0.1,0.562,135.128,194088,4,106,7,786
66,7BKLCZ1jbUBVqRi2FVlTVw,Closer,0.748,0.524,8,-5.599,1,0.414,0.0,0.111,0.661,95.01,244960,4,94,11,810
67,3aEcaegTsg7rnU0Mk5a7Eu,All Time Low,0.637,0.543,0,-4.34,1,0.0604,0.0,0.103,0.516,90.117,217603,4,81,10,809
68,2Fd1ijXxGDCZO9dK4abdqt,Money,0.733,0.92,5,-4.17,1,0.00545,0.000154,0.0545,0.87,108.041,152785,4,67,6,547
69,7j9EnPE9ISbxLlEUlA9KkD,Play with Fire,0.537,0.87,11,-5.253,0,0.0164,0.017,0.259,0.725,90.95,211403,4,76,8,746
70,27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,0.628,0.698,6,-5.608,0,0.0472,0.00143,0.0907,0.732,89.976,211667,4,77,10,842
71,7gHs73wELdeycvS48JfIos,Faded,0.589,0.651,6,-5.097,1,0.0291,3.2e-06,0.111,0.166,90.011,212627,4,77,9,696
72,67O8CWXxPsfz8orZVGMQwf,End of Time,0.81,0.7,4,-5.664,0,0.267,6.69e-05,0.137,0.193,116.019,187560,4,88,10,748
73,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,0.617,0.635,11,-6.769,0,0.0498,1.44e-05,0.164,0.446,103.019,247160,4,105,11,888
74,6DXLO8LndZMVOHM0wNbpzg,Danza Kuduro,0.699,0.917,0,-4.897,1,0.078,0.0,0.065,0.889,130.04,198787,4,106,10,861
75,1sojLxziscS61FNyoSBlWN,Stereo Love,0.429,0.194,7,-10.346,1,0.913,0.0,0.098,0.416,126.953,177547,4,80,9,450
76,6oaQuXiRKqQq9ITJBV1XmC,Wild Life,0.498,0.764,2,-8.096,1,0.0118,0.0104,0.156,0.0557,115.975,267117,4,128,12,1099
77,0ct6r3EGTcMLPtrXHDvVjc,The Nights,0.527,0.835,6,-5.298,1,0.0166,0.0,0.249,0.654,125.983,176658,4,90,9,659
78,62yJjFtgkhUrXktIoSjgP2,Radioactive,0.448,0.784,9,-3.686,1,0.106,0.000108,0.668,0.236,136.245,186813,4,105,7,564
79,0nrRP2bk19rLc0orkWPQk2,Wake Me Up,0.532,0.783,2,-5.697,1,0.0038,0.0012,0.161,0.643,124.08,247427,4,125,12,948
80,7dOeiXeTSfA1ixaYmQcWu7,Rich Love (with Seeb),0.401,0.872,1,-3.641,0,0.167,0.0,0.362,0.472,104.592,201257,4,85,10,777
81,0h9SUGpAofhus8HUgNXVwW,I Bet My Life,0.545,0.659,1,-8.18,1,0.367,0.00111,0.415,0.599,108.04,192707,4,85,7,696
82,213x4gsFDm04hSqIUkg88w,On Top Of The World,0.631,0.924,0,-5.589,1,0.0841,3.59e-06,0.084,0.755,100.045,192280,4,78,8,777
83,46jLy47W8rkf8rEX04gMKB,Wherever I Go,0.552,0.689,10,-6.444,0,0.0915,0.0,0.27,0.349,99.961,169773,4,68,10,662
84,6ikDZX0oc8EKGj2vdMAEDv,Didn't I,0.606,0.613,4,-6.758,1,0.0182,0.0,0.125,0.258,123.943,207617,4,102,9,751
85,7FdUvDkaE24o3FPIWTvzv2,Follow You,0.542,0.732,9,-5.956,1,0.00209,7.92e-05,0.496,0.489,124.912,175644,4,88,8,577
86,2SLxgJ2YFohfd8KwuJZTUE,Better Days,0.618,0.725,5,-4.952,1,0.255,0.0,0.424,0.242,88.982,144546,4,52,7,546
87,6Tvzf3VEi16JMhAgOwdt2y,Birds,0.649,0.517,1,-7.428,0,0.0146,1.63e-06,0.145,0.35,119.997,219440,4,106,8,654
88,7GJ572zvnU94VZVrj5XRtb,Spirits,0.556,0.658,0,-6.075,1,0.164,0.0,0.113,0.787,80.529,203653,4,66,8,612
89,1uMHCAyGmHqyygoNRuo7MV,edamame (feat. Rich Brian),0.815,0.848,4,-4.704,0,0.023,0.000162,0.0265,0.684,106.032,133707,4,57,8,647
90,7qVjoGvjdOFfk3uKVhvZU9,All Time Low,0.456,0.643,0,-4.139,1,0.0479,0.0,0.101,0.641,86.54,219460,4,75,13,882
91,3U4isOIWM3VvDubwSI3y7a,All of Me,0.422,0.264,8,-7.064,1,0.922,0.0,0.132,0.331,119.93,269560,4,135,13,743
92,3dYD57lRAUcMHufyqn9GcI,Take Me To Church,0.566,0.664,4,-5.303,0,0.634,0.0,0.116,0.437,128.945,241688,4,126,10,725
93,5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,0.606,0.799,9,-4.452,1,0.0128,0.0,0.15,0.638,103.014,232907,4,98,11,780
94,1v1oIWf2Xgh54kIWuKsDf6,Runaway,0.422,0.302,11,-9.214,1,0.629,7.83e-05,0.104,0.123,114.089,248827,4,102,14,683
95,4cKLB73rkDBmJhj9xLlrMI,Same Team,0.751,0.691,5,-4.855,0,0.193,1.28e-06,0.132,0.494,124.969,211493,4,108,10,822
96,4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),0.857,0.621,9,-6.376,0,0.148,0.0,0.0865,0.668,97.989,204467,4,82,8,860
97,0afhq8XCExXpqazXczTSve,Galway Girl,0.624,0.876,9,-3.374,1,0.0735,0.0,0.327,0.781,99.943,170827,4,68,9,716
98,3D5wnLaeVlCCIPzQOOAirA,No Roots,0.863,0.673,4,-6.576,0,0.258,0.00271,0.0745,0.821,115.952,237053,4,111,7,915
99,7MXlTgQeo3IVlMpLnZuhxc,It's Time,0.656,0.884,2,-4.748,1,0.0162,0.0,0.144,0.86,105.009,240307,4,102,11,788
